Project Type,Slug,Collection ID,Item ID,Created On,Updated On,Published On
Branding,branding,60b80ceb04e1400b142af1be,60b80fb0bedf5e7f34f23d4c,Wed Jun 02 2021 23:09:36 GMT+0000 (Coordinated Universal Time),Wed Jun 02 2021 23:09:36 GMT+0000 (Coordinated Universal Time),Tue Jun 08 2021 03:10:48 GMT+0000 (Coordinated Universal Time)
eCommerce,ecommerce,60b80ceb04e1400b142af1be,60b80fb36d2fc8ed2c3ff059,Wed Jun 02 2021 23:09:39 GMT+0000 (Coordinated Universal Time),Fri Jun 04 2021 22:20:44 GMT+0000 (Coordinated Universal Time),Tue Jun 08 2021 03:10:48 GMT+0000 (Coordinated Universal Time)
Marketing,marketing,60b80ceb04e1400b142af1be,60b80fb353a6085451680fda,Wed Jun 02 2021 23:09:39 GMT+0000 (Coordinated Universal Time),Wed Jun 02 2021 23:09:39 GMT+0000 (Coordinated Universal Time),Tue Jun 08 2021 03:10:48 GMT+0000 (Coordinated Universal Time)
Mobile App,mobile-app,60b80ceb04e1400b142af1be,60b80fb2f7e522449f130a6f,Wed Jun 02 2021 23:09:38 GMT+0000 (Coordinated Universal Time),Wed Jun 02 2021 23:09:38 GMT+0000 (Coordinated Universal Time),Tue Jun 08 2021 03:10:48 GMT+0000 (Coordinated Universal Time)
Web App,web-app,60b80ceb04e1400b142af1be,60b80fb1f7e522995f130a6c,Wed Jun 02 2021 23:09:37 GMT+0000 (Coordinated Universal Time),Wed Jun 02 2021 23:09:37 GMT+0000 (Coordinated Universal Time),Tue Jun 08 2021 03:10:48 GMT+0000 (Coordinated Universal Time)
Web Design,web-design,60b80ceb04e1400b142af1be,60b80fb106094ffda9b7beef,Wed Jun 02 2021 23:09:37 GMT+0000 (Coordinated Universal Time),Wed Jun 02 2021 23:09:37 GMT+0000 (Coordinated Universal Time),Tue Jun 08 2021 03:10:48 GMT+0000 (Coordinated Universal Time)
Web/Mobile App,web-mobile-app,60b80ceb04e1400b142af1be,60bd443cbbd19a66d46786ce,Sun Jun 06 2021 21:55:08 GMT+0000 (Coordinated Universal Time),Sun Jun 06 2021 21:55:08 GMT+0000 (Coordinated Universal Time),Tue Jun 08 2021 03:10:48 GMT+0000 (Coordinated Universal Time)
